 	X	Y
1	1280.000	274.000
2	1279.625	314.875
3	1242.000	494.000
4	468.000	550.000
5	591.000	549.000
6	683.000	549.000
7	760.000	547.000
8	864.000	535.000
9	421.000	450.000
10	520.000	444.000
11	658.000	441.000
12	770.000	445.000
13	959.000	457.000
14	822.667	535.333
15	835.000	526.667
16	868.000	514.000
17	905.000	506.333
18	945.333	499.667
19	981.000	494.667
20	999.333	492.000
21	1024.667	489.000
22	1044.000	485.667
23	1066.000	479.500
24	736.500	541.500
25	761.500	529.500
26	797.000	516.500
27	833.000	504.500
28	864.000	497.000
29	897.500	488.500
30	930.000	483.500
31	958.000	480.500
32	989.000	475.000
33	1013.500	471.000
34	637.000	547.000
35	665.000	535.000
36	704.000	522.000
37	743.500	509.500
38	784.000	499.000
39	819.000	486.500
40	858.500	478.000
41	893.500	470.500
42	926.500	464.500
43	942.500	461.000
44	610.500	547.000
45	643.500	531.000
46	678.000	518.000
47	718.500	504.000
48	755.500	492.500
49	795.000	483.000
50	835.500	475.000
51	868.500	464.500
52	890.000	459.000
53	902.000	456.500
54	498.500	548.500
55	536.000	537.500
56	583.000	523.500
57	636.000	509.000
58	676.500	499.000
59	711.500	488.500
60	756.500	479.000
61	791.500	473.000
62	823.000	464.500
63	862.000	453.000
64	462.000	548.500
65	507.500	537.500
66	553.500	521.000
67	598.500	506.500
68	640.500	495.000
69	689.000	484.000
70	739.500	472.500
71	773.000	467.500
72	810.000	458.000
73	839.500	450.500
